Time_s,Voltage_V,Current_A,Temp_C
76,3.33,0.0,20.0
77,3.33,0.0,20.0
78,3.33,0.0,20.0
79,3.33,0.0,20.0
80,3.33,0.0,20.0
81,3.33,0.0,20.0
82,3.33,0.0,20.0
83,3.33,0.0,20.0
84,3.33,0.0,20.0
85,3.33,0.0,20.0
86,3.33,0.0,20.0
87,3.33,0.0,20.0
88,3.33,0.0,20.0
89,3.33,0.0,20.0
90,3.33,0.0,20.0
91,3.33,0.0,20.0
92,3.33,0.0,20.0
93,3.33,0.0,20.0
94,3.33,0.0,20.0
95,3.33,0.0,20.0
96,3.33,0.0,20.0
97,3.33,0.0,20.0
98,3.33,0.0,20.0
99,3.33,0.0,20.0
100,3.33,0.0,20.0
101,3.33,0.0,20.0
102,3.33,0.0,20.0
103,3.33,0.0,20.0
104,3.33,0.0,20.0
105,3.33,0.0,20.0
106,3.33,0.0,20.0
107,3.33,0.0,20.0
108,3.33,0.0,20.0
109,3.33,0.0,20.0
110,3.33,0.0,20.0
111,3.33,0.0,20.0
112,3.33,0.0,20.0
113,3.33,0.0,20.0
114,3.33,0.0,20.0
115,3.33,0.0,20.0
116,3.33,0.0,20.0
117,3.33,0.0,20.0
118,3.33,0.0,20.0
119,3.33,0.0,20.0
120,3.33,0.0,20.0
121,3.33,0.0,20.0
122,3.33,0.0,20.0
123,3.33,0.0,20.0
124,3.33,0.0,20.0
125,3.33,0.0,20.0
126,3.33,0.0,20.0
127,3.33,0.0,20.0
128,3.33,0.0,20.0
129,3.33,0.0,20.0
130,3.33,0.0,20.0
131,3.33,0.0,20.0
132,3.33,0.0,20.0
133,3.33,0.0,20.0
134,3.33,0.0,20.0
135,3.33,0.0,20.0
136,3.33,0.0,20.0
137,3.33,0.0,20.0
138,3.33,0.0,20.0
139,3.33,0.0,20.0
140,3.33,0.0,20.0
141,3.33,0.0,20.0
142,3.33,0.0,20.0
143,3.33,0.0,20.0
144,3.33,0.0,20.0
145,3.33,0.0,20.0
146,3.33,0.0,20.0
147,3.33,0.0,20.0
148,3.33,0.0,20.0
149,3.33,0.0,20.0
150,3.33,0.0,20.0
151,3.33,0.0,20.0
152,3.33,0.0,20.0
153,3.33,0.0,20.0
154,3.33,0.0,20.0
155,3.33,0.0,20.0
156,3.33,0.0,20.0
157,3.33,0.0,20.0
158,3.33,0.0,20.0
159,3.33,0.0,20.0
160,3.33,0.0,20.0
161,3.33,0.0,20.0
162,3.33,0.0,20.0
163,3.33,0.0,20.0
164,3.33,0.0,20.0
165,3.33,0.0,20.0
166,3.33,0.0,20.0
167,3.33,0.0,20.0
168,3.33,0.0,20.0
169,3.33,0.0,20.0
170,3.33,0.0,20.0
171,3.33,0.0,20.0
172,3.33,0.0,20.0
173,3.33,0.0,20.0
174,3.33,0.0,20.0
175,3.33,0.0,20.0
176,3.33,0.0,20.0
177,3.33,0.0,20.0
178,3.33,0.0,20.0
179,3.33,0.0,20.0
180,3.33,0.0,20.0
181,3.33,0.0,20.0
182,3.33,0.0,20.0
183,3.33,0.0,20.0
184,3.33,0.0,20.0
185,3.33,0.0,20.0
186,3.33,0.0,20.0
187,3.33,0.0,20.0
188,3.33,0.0,20.0
189,3.33,0.0,20.0
190,3.33,0.0,20.0
191,3.33,0.0,20.0
192,3.33,0.0,20.0
193,3.33,0.0,20.0
194,3.33,0.0,20.0
195,3.33,0.0,20.0
196,3.33,0.0,20.0
197,3.33,0.0,20.0
198,3.33,0.0,20.0
199,3.33,0.0,20.0
200,3.33,0.0,20.0
201,3.33,0.0,20.0
202,3.33,0.0,20.0
203,3.33,0.0,20.0
204,3.33,0.0,20.0
205,3.33,0.0,20.0
206,3.33,0.0,20.0
207,3.33,0.0,20.0
208,3.33,0.0,20.0
209,3.33,0.0,20.0
210,3.33,0.0,20.0
211,3.33,0.0,20.0
212,3.33,0.0,20.0
213,3.33,0.0,20.0
214,3.33,0.0,20.0
215,3.33,0.0,20.0
216,3.33,0.0,20.0
217,3.33,0.0,20.0
218,3.33,0.0,20.0
219,3.33,0.0,20.0
220,3.33,0.0,20.0
221,3.33,0.0,20.0
222,3.33,0.0,20.0
223,3.33,0.0,20.0
224,3.33,0.0,20.0
225,3.33,0.0,20.0
226,3.33,0.0,20.0
227,3.33,0.0,20.0
228,3.33,0.0,20.0
229,3.33,0.0,20.0
230,3.33,0.0,20.0
231,3.33,0.0,20.0
232,3.33,0.0,20.0
233,3.33,0.0,20.0
234,3.33,0.0,20.0
235,3.33,0.0,20.0
236,3.33,0.0,20.0
237,3.33,0.0,20.0
238,3.33,0.0,20.0
239,3.33,0.0,20.0
240,3.33,0.0,20.0
241,3.33,0.0,20.0
242,3.33,0.0,20.0
243,3.33,0.0,20.0
244,3.33,0.0,20.0
245,3.33,0.0,20.0
246,3.33,0.0,20.0
247,3.33,0.0,20.0
248,3.33,0.0,20.0
249,3.33,0.0,20.0
250,3.33,0.0,20.0
251,3.33,0.0,20.0
252,3.33,0.0,20.0
253,3.33,0.0,20.0
254,3.33,0.0,20.0
255,3.33,0.0,20.0
256,3.33,0.0,20.0
257,3.33,0.0,20.0
258,3.33,0.0,20.0
259,3.33,0.0,20.0
260,3.33,0.0,20.0
261,3.33,0.0,20.0
262,3.33,0.0,20.0
263,3.33,0.0,20.0
264,3.33,0.0,20.0
265,3.33,0.0,20.0
266,3.33,0.0,20.0
267,3.33,0.0,20.0
268,3.33,0.0,20.0
269,3.33,0.0,20.0
270,3.33,0.0,20.0
271,3.33,0.0,20.0
272,3.33,0.0,20.0
273,3.33,0.0,20.0
274,3.33,0.0,20.0
275,3.33,0.0,20.0
276,3.33,0.0,20.0
277,3.33,0.0,20.0
278,3.33,0.0,20.0
279,3.33,0.0,20.0
280,3.33,0.0,20.0
281,3.33,0.0,20.0
282,3.33,0.0,20.0
283,3.33,0.0,20.0
284,3.33,0.0,20.0
285,3.33,0.0,20.0
286,3.33,0.0,20.0
287,3.33,0.0,20.0
288,3.33,0.0,20.0
289,3.33,0.0,20.0
290,3.33,0.0,20.0
291,3.33,0.0,20.0
292,3.33,0.0,20.0
293,3.33,0.0,20.0
294,3.33,0.0,20.0
295,3.33,0.0,20.0
296,3.33,0.0,20.0
297,3.33,0.0,20.0
298,3.33,0.0,20.0
299,3.33,0.0,20.0
300,3.33,0.0,20.0
301,3.33,0.0,20.0
302,3.33,0.0,20.0
303,3.33,0.0,20.0
304,3.33,0.0,20.0
305,3.33,0.0,20.0
306,3.33,0.0,20.0
307,3.33,0.0,20.0
308,3.33,0.0,20.0
309,3.33,0.0,20.0
310,3.33,0.0,20.0
311,3.33,0.0,20.0
312,3.33,0.0,20.0
313,3.33,0.0,20.0
314,3.33,0.0,20.0
315,3.33,0.0,20.0
316,3.33,0.0,20.0
317,3.33,0.0,20.0
318,3.33,0.0,20.0
319,3.33,0.0,20.0
320,3.33,0.0,20.0
321,3.33,0.0,20.0
322,3.33,0.0,20.0
323,3.33,0.0,20.0
324,3.33,0.0,20.0
325,3.33,0.0,20.0
326,3.33,0.0,20.0
327,3.33,0.0,20.0
328,3.33,0.0,20.0
329,3.33,0.0,20.0
330,3.33,0.0,20.0
331,3.33,0.0,20.0
332,3.33,0.0,20.0
333,3.33,0.0,20.0
334,3.33,0.0,20.0
335,3.33,0.0,20.0
336,3.33,0.0,20.0
337,3.33,0.0,20.0
338,3.33,0.0,20.0
339,3.33,0.0,20.0
340,3.33,0.0,20.0
341,3.33,0.0,20.0
342,3.33,0.0,20.0
343,3.33,0.0,20.0
344,3.33,0.0,20.0
345,3.33,0.0,20.0
346,3.33,0.0,20.0
347,3.33,0.0,20.0
348,3.33,0.0,20.0
349,3.33,0.0,20.0
350,3.33,0.0,20.0
351,3.33,0.0,20.0
352,3.33,0.0,20.0
353,3.33,0.0,20.0
354,3.33,0.0,20.0
355,3.33,0.0,20.0
356,3.33,0.0,20.0
357,3.33,0.0,20.0
358,3.33,0.0,20.0
359,3.33,0.0,20.0
360,3.33,0.0,20.0
361,3.33,0.0,20.0
362,3.33,0.0,20.0
363,3.33,0.0,20.0
364,3.33,0.0,20.0
365,3.33,0.0,20.0
366,3.33,0.0,20.0
367,3.33,0.0,20.0
368,3.33,0.0,20.0
369,3.33,0.0,20.0
370,3.33,0.0,20.0
371,3.33,0.0,20.0
372,3.33,0.0,20.0
373,3.33,0.0,20.0
374,3.33,0.0,20.0
375,3.33,0.0,20.0
376,3.33,0.0,20.0
377,3.33,0.0,20.0
378,3.33,0.0,20.0
379,3.33,0.0,20.0
380,3.33,0.0,20.0
381,3.33,0.0,20.0
382,3.33,0.0,20.0
383,3.33,0.0,20.0
384,3.33,0.0,20.0
385,3.33,0.0,20.0
386,3.33,0.0,20.0
387,3.33,0.0,20.0
388,3.33,0.0,20.0
389,3.33,0.0,20.0
390,3.33,0.0,20.0
391,3.33,0.0,20.0
392,3.33,0.0,20.0
393,3.33,0.0,20.0
394,3.33,0.0,20.0
395,3.33,0.0,20.0
396,3.33,0.0,20.0
397,3.33,0.0,20.0
398,3.33,0.0,20.0
399,3.33,0.0,20.0
400,3.33,0.0,20.0
401,3.33,0.0,20.0
402,3.33,0.0,20.0
403,3.33,0.0,20.0
404,3.33,0.0,20.0
405,3.33,0.0,20.0
406,3.33,0.0,20.0
407,3.33,0.0,20.0
408,3.33,0.0,20.0
409,3.33,0.0,20.0
410,3.33,0.0,20.0
411,3.33,0.0,20.0
412,3.33,0.0,20.0
413,3.33,0.0,20.0
414,3.33,0.0,20.0
415,3.33,0.0,20.0
416,3.33,0.0,20.0
417,3.33,0.0,20.0
418,3.33,0.0,20.0
419,3.33,0.0,20.0
420,3.33,0.0,20.0
421,3.33,0.0,20.0
422,3.33,0.0,20.0
423,3.33,0.0,20.0
424,3.33,0.0,20.0
425,3.33,0.0,20.0
426,3.33,0.0,20.0
427,3.33,0.0,20.0
428,3.33,0.0,20.0
429,3.33,0.0,20.0
430,3.33,0.0,20.0
431,3.33,0.0,20.0
432,3.33,0.0,20.0
433,3.33,0.0,20.0
434,3.33,0.0,20.0
435,3.33,0.0,20.0
436,3.33,0.0,20.0
437,3.33,0.0,20.0
438,3.33,0.0,20.0
439,3.33,0.0,20.0
440,3.33,0.0,20.0
441,3.33,0.0,20.0
442,3.33,0.0,20.0
443,3.33,0.0,20.0
444,3.33,0.0,20.0
445,3.33,0.0,20.0
446,3.33,0.0,20.0
447,3.33,0.0,20.0
448,3.33,0.0,20.0
449,3.33,0.0,20.0
450,3.33,0.0,20.0
451,3.33,0.0,20.0
452,3.33,0.0,20.0
453,3.33,0.0,20.0
454,3.33,0.0,20.0
455,3.33,0.0,20.0
456,3.33,0.0,20.0
457,3.33,0.0,20.0
458,3.33,0.0,20.0
459,3.33,0.0,20.0
460,3.33,0.0,20.0
461,3.33,0.0,20.0
462,3.33,0.0,20.0
463,3.33,0.0,20.0
464,3.33,0.0,20.0
465,3.33,0.0,20.0
466,3.33,0.0,20.0
467,3.33,0.0,20.0
468,3.33,0.0,20.0
469,3.33,0.0,20.0
470,3.33,0.0,20.0
471,3.33,0.0,20.0
472,3.33,0.0,20.0
473,3.33,0.0,20.0
474,3.33,0.0,20.0
475,3.33,0.0,20.0
476,3.33,0.0,20.0
477,3.33,0.0,20.0
478,3.33,0.0,20.0
479,3.33,0.0,20.0
480,3.33,0.0,20.0
481,3.33,0.0,20.0
482,3.33,0.0,20.0
483,3.33,0.0,20.0
484,3.33,0.0,20.0
485,3.33,0.0,20.0
486,3.33,0.0,20.0
487,3.33,0.0,20.0
488,3.33,0.0,20.0
489,3.33,0.0,20.0
490,3.33,0.0,20.0
491,3.33,0.0,20.0
492,3.33,0.0,20.0
493,3.33,0.0,20.0
494,3.33,0.0,20.0
495,3.33,0.0,20.0
496,3.33,0.0,20.0
497,3.33,0.0,20.0
498,3.33,0.0,20.0
499,3.33,0.0,20.0
500,3.33,0.0,20.0
501,3.33,0.0,20.0
502,3.33,0.0,20.0
503,3.33,0.0,20.0
504,3.33,0.0,20.0
505,3.33,0.0,20.0
506,3.33,0.0,20.0
507,3.33,0.0,20.0
508,3.33,0.0,20.0
509,3.33,0.0,20.0
510,3.33,0.0,20.0
511,3.33,0.0,20.0
512,3.33,0.0,20.0
513,3.33,0.0,20.0
514,3.33,0.0,20.0
515,3.33,0.0,20.0
516,3.33,0.0,20.0
517,3.33,0.0,20.0
518,3.33,0.0,20.0
519,3.33,0.0,20.0
520,3.33,0.0,20.0
521,3.33,0.0,20.0
522,3.33,0.0,20.0
523,3.33,0.0,20.0
524,3.33,0.0,20.0
525,3.33,0.0,20.0
526,3.33,0.0,20.0
527,3.33,0.0,20.0
528,3.33,0.0,20.0
529,3.33,0.0,20.0
530,3.33,0.0,20.0
531,3.33,0.0,20.0
532,3.33,0.0,20.0
533,3.33,0.0,20.0
534,3.33,0.0,20.0
535,3.33,0.0,20.0
536,3.33,0.0,20.0
537,3.33,0.0,20.0
538,3.33,0.0,20.0
539,3.33,0.0,20.0
540,3.33,0.0,20.0
541,3.33,0.0,20.0
542,3.33,0.0,20.0
543,3.33,0.0,20.0
544,3.33,0.0,20.0
545,3.33,0.0,20.0
546,3.33,0.0,20.0
547,3.33,0.0,20.0
548,3.33,0.0,20.0
549,3.33,0.0,20.0
550,3.33,0.0,20.0
551,3.33,0.0,20.0
552,3.33,0.0,20.0
553,3.33,0.0,20.0
554,3.33,0.0,20.0
555,3.33,0.0,20.0
556,3.33,0.0,20.0
557,3.33,0.0,20.0
558,3.33,0.0,20.0
559,3.33,0.0,20.0
560,3.33,0.0,20.0
561,3.33,0.0,20.0
562,3.33,0.0,20.0
563,3.33,0.0,20.0
564,3.33,0.0,20.0
565,3.33,0.0,20.0
566,3.33,0.0,20.0
567,3.33,0.0,20.0
568,3.33,0.0,20.0
569,3.33,0.0,20.0
570,3.33,0.0,20.0
571,3.33,0.0,20.0
572,3.33,0.0,20.0
573,3.33,0.0,20.0
574,3.33,0.0,20.0
575,3.33,0.0,20.0
576,3.33,0.0,20.0
577,3.33,0.0,20.0
578,3.33,0.0,20.0
579,3.33,0.0,20.0
580,3.33,0.0,20.0
581,3.33,0.0,20.0
582,3.33,0.0,20.0
583,3.33,0.0,20.0
584,3.33,0.0,20.0
585,3.33,0.0,20.0
586,3.33,0.0,20.0
587,3.33,0.0,20.0
588,3.33,0.0,20.0
589,3.33,0.0,20.0
590,3.33,0.0,20.0
591,3.33,0.0,20.0
592,3.33,0.0,20.0
593,3.33,0.0,20.0
594,3.33,0.0,20.0
595,3.33,0.0,20.0
596,3.33,0.0,20.0
597,3.33,0.0,20.0
598,3.33,0.0,20.0
599,3.33,0.0,20.0
600,3.33,0.0,20.0
601,3.33,0.0,20.0
602,3.33,0.0,20.0
603,3.33,0.0,20.0
604,3.33,0.0,20.0
605,3.33,0.0,20.0
606,3.33,0.0,20.0
607,3.33,0.0,20.0
608,3.33,0.0,20.0
609,3.33,0.0,20.0
610,3.33,0.0,20.0
611,3.33,0.0,20.0
612,3.33,0.0,20.0
613,3.33,0.0,20.0
614,3.33,0.0,20.0
615,3.33,0.0,20.0
616,3.33,0.0,20.0
617,3.33,0.0,20.0
618,3.33,0.0,20.0
619,3.33,0.0,20.0
620,3.33,0.0,20.0
621,3.33,0.0,20.0
622,3.33,0.0,20.0
623,3.33,0.0,20.0
624,3.33,0.0,20.0
625,3.33,0.0,20.0
626,3.33,0.0,20.0
627,3.33,0.0,20.0
628,3.33,0.0,20.0
629,3.33,0.0,20.0
630,3.33,0.0,20.0
631,3.33,0.0,20.0
632,3.33,0.0,20.0
633,3.33,0.0,20.0
634,3.33,0.0,20.0
635,3.33,0.0,20.0
636,3.33,0.0,20.0
637,3.33,0.0,20.0
638,3.33,0.0,20.0
639,3.33,0.0,20.0
640,3.33,0.0,20.0
641,3.33,0.0,20.0
642,3.33,0.0,20.0
643,3.33,0.0,20.0
644,3.33,0.0,20.0
645,3.33,0.0,20.0
646,3.33,0.0,20.0
647,3.33,0.0,20.0
648,3.33,0.0,20.0
649,3.33,0.0,20.0
650,3.33,0.0,20.0
651,3.33,0.0,20.0
652,3.33,0.0,20.0
653,3.33,0.0,20.0
654,3.33,0.0,20.0
655,3.33,0.0,20.0
656,3.33,0.0,20.0
657,3.33,0.0,20.0
658,3.33,0.0,20.0
659,3.33,0.0,20.0
660,3.33,0.0,20.0
661,3.33,0.0,20.0
662,3.33,0.0,20.0
663,3.33,0.0,20.0
664,3.33,0.0,20.0
665,3.33,0.0,20.0
666,3.33,0.0,20.0
667,3.33,0.0,20.0
668,3.33,0.0,20.0
669,3.33,0.0,20.0
670,3.33,0.0,20.0
671,3.33,0.0,20.0
672,3.33,0.0,20.0
673,3.33,0.0,20.0
674,3.33,0.0,20.0
675,3.33,0.0,20.0
676,3.33,0.0,20.0
677,3.33,0.0,20.0
678,3.33,0.0,20.0
679,3.33,0.0,20.0
680,3.33,0.0,20.0
681,3.33,0.0,20.0
682,3.33,0.0,20.0
683,3.33,0.0,20.0
684,3.33,0.0,20.0
685,3.33,0.0,20.0
686,3.33,0.0,20.0
687,3.33,0.0,20.0
688,3.33,0.0,20.0
689,3.33,0.0,20.0
690,3.33,0.0,20.0
691,3.33,0.0,20.0
692,3.33,0.0,20.0
693,3.33,0.0,20.0
694,3.33,0.0,20.0
695,3.33,0.0,20.0
696,3.33,0.0,20.0
697,3.33,0.0,20.0
698,3.33,0.0,20.0
699,3.33,0.0,20.0
700,3.33,0.0,20.0
701,3.33,0.0,20.0
702,3.33,0.0,20.0
703,3.33,0.0,20.0
704,3.33,0.0,20.0
705,3.33,0.0,20.0
706,3.33,0.0,20.0
707,3.33,0.0,20.0
708,3.33,0.0,20.0
709,3.33,0.0,20.0
710,3.33,0.0,20.0
711,3.33,0.0,20.0
712,3.33,0.0,20.0
713,3.33,0.0,20.0
714,3.33,0.0,20.0
715,3.33,0.0,20.0
716,3.33,0.0,20.0
717,3.33,0.0,20.0
718,3.33,0.0,20.0
719,3.33,0.0,20.0
720,3.33,0.0,20.0
721,3.33,0.0,20.0
722,3.33,0.0,20.0
723,3.33,0.0,20.0
724,3.33,0.0,20.0
725,3.33,0.0,20.0
726,3.33,0.0,20.0
727,3.33,0.0,20.0
728,3.33,0.0,20.0
729,3.33,0.0,20.0
730,3.33,0.0,20.0
731,3.33,0.0,20.0
732,3.33,0.0,20.0
733,3.33,0.0,20.0
734,3.33,0.0,20.0
735,3.33,0.0,20.0
736,3.33,0.0,20.0
737,3.33,0.0,20.0
738,3.33,0.0,20.0
739,3.33,0.0,20.0
740,3.33,0.0,20.0
741,3.33,0.0,20.0
742,3.33,0.0,20.0
743,3.33,0.0,20.0
744,3.33,0.0,20.0
745,3.33,0.0,20.0
746,3.33,0.0,20.0
747,3.33,0.0,20.0
748,3.33,0.0,20.0
749,3.33,0.0,20.0
750,3.33,0.0,20.0
751,3.33,0.0,20.0
752,3.33,0.0,20.0
753,3.33,0.0,20.0
754,3.33,0.0,20.0
755,3.33,0.0,20.0
756,3.33,0.0,20.0
757,3.33,0.0,20.0
758,3.33,0.0,20.0
759,3.33,0.0,20.0
760,3.33,0.0,20.0
761,3.33,0.0,20.0
762,3.33,0.0,20.0
763,3.33,0.0,20.0
764,3.33,0.0,20.0
765,3.33,0.0,20.0
766,3.33,0.0,20.0
767,3.33,0.0,20.0
768,3.33,0.0,20.0
769,3.33,0.0,20.0
770,3.33,0.0,20.0
771,3.33,0.0,20.0
772,3.33,0.0,20.0
773,3.33,0.0,20.0
774,3.33,0.0,20.0
775,3.33,0.0,20.0
776,3.33,0.0,20.0
777,3.33,0.0,20.0
778,3.33,0.0,20.0
779,3.33,0.0,20.0
780,3.33,0.0,20.0
781,3.33,0.0,20.0
782,3.33,0.0,20.0
783,3.33,0.0,20.0
784,3.33,0.0,20.0
785,3.33,0.0,20.0
786,3.33,0.0,20.0
787,3.33,0.0,20.0
788,3.33,0.0,20.0
789,3.33,0.0,20.0
790,3.33,0.0,20.0
791,3.33,0.0,20.0
792,3.33,0.0,20.0
793,3.33,0.0,20.0
794,3.33,0.0,20.0
795,3.33,0.0,20.0
796,3.33,0.0,20.0
797,3.33,0.0,20.0
798,3.33,0.0,20.0
799,3.33,0.0,20.0
800,3.33,0.0,20.0
801,3.33,0.0,20.0
802,3.33,0.0,20.0
803,3.33,0.0,20.0
804,3.33,0.0,20.0
805,3.33,0.0,20.0
806,3.33,0.0,20.0
807,3.33,0.0,20.0
808,3.33,0.0,20.0
809,3.33,0.0,20.0
810,3.33,0.0,20.0
811,3.33,0.0,20.0
812,3.33,0.0,20.0
813,3.33,0.0,20.0
814,3.33,0.0,20.0
815,3.33,0.0,20.0
816,3.33,0.0,20.0
817,3.33,0.0,20.0
818,3.33,0.0,20.0
819,3.33,0.0,20.0
820,3.33,0.0,20.0
821,3.33,0.0,20.0
822,3.33,0.0,20.0
823,3.33,0.0,20.0
824,3.33,0.0,20.0
825,3.33,0.0,20.0
826,3.33,0.0,20.0
827,3.33,0.0,20.0
828,3.33,0.0,20.0
829,3.33,0.0,20.0
830,3.33,0.0,20.0
831,3.33,0.0,20.0
832,3.33,0.0,20.0
833,3.33,0.0,20.0
834,3.33,0.0,20.0
835,3.33,0.0,20.0
836,3.33,0.0,20.0
837,3.33,0.0,20.0
838,3.33,0.0,20.0
839,3.33,0.0,20.0
840,3.33,0.0,20.0
841,3.33,0.0,20.0
842,3.33,0.0,20.0
843,3.33,0.0,20.0
844,3.33,0.0,20.0
845,3.33,0.0,20.0
846,3.33,0.0,20.0
847,3.33,0.0,20.0
848,3.33,0.0,20.0
849,3.33,0.0,20.0
850,3.33,0.0,20.0
851,3.33,0.0,20.0
852,3.33,0.0,20.0
853,3.33,0.0,20.0
854,3.33,0.0,20.0
855,3.33,0.0,20.0
856,3.33,0.0,20.0
857,3.33,0.0,20.0
858,3.33,0.0,20.0
859,3.33,0.0,20.0
860,3.33,0.0,20.0
861,3.33,0.0,20.0
862,3.33,0.0,20.0
863,3.33,0.0,20.0
864,3.33,0.0,20.0
865,3.33,0.0,20.0
866,3.33,0.0,20.0
867,3.33,0.0,20.0
868,3.33,0.0,20.0
869,3.33,0.0,20.0
870,3.33,0.0,20.0
871,3.33,0.0,20.0
872,3.33,0.0,20.0
873,3.33,0.0,20.0
874,3.33,0.0,20.0
875,3.33,0.0,20.0
876,3.33,0.0,20.0
877,3.33,0.0,20.0
878,3.33,0.0,20.0
879,3.33,0.0,20.0
880,3.33,0.0,20.0
881,3.33,0.0,20.0
882,3.33,0.0,20.0
883,3.33,0.0,20.0
884,3.33,0.0,20.0
885,3.33,0.0,20.0
886,3.33,0.0,20.0
887,3.33,0.0,20.0
888,3.33,0.0,20.0
889,3.33,0.0,20.0
890,3.33,0.0,20.0
891,3.33,0.0,20.0
892,3.33,0.0,20.0
893,3.33,0.0,20.0
894,3.33,0.0,20.0
895,3.33,0.0,20.0
896,3.33,0.0,20.0
897,3.33,0.0,20.0
898,3.33,0.0,20.0
899,3.33,0.0,20.0
900,3.33,0.0,20.0
901,3.33,0.0,20.0
902,3.33,0.0,20.0
903,3.33,0.0,20.0
904,3.33,0.0,20.0
905,3.33,0.0,20.0
906,3.33,0.0,20.0
907,3.33,0.0,20.0
908,3.33,0.0,20.0
909,3.33,0.0,20.0
910,3.33,0.0,20.0
911,3.33,0.0,20.0
912,3.33,0.0,20.0
913,3.33,0.0,20.0
914,3.33,0.0,20.0
915,3.33,0.0,20.0
916,3.33,0.0,20.0
917,3.33,0.0,20.0
918,3.33,0.0,20.0
919,3.33,0.0,20.0
920,3.33,0.0,20.0
921,3.33,0.0,20.0
922,3.33,0.0,20.0
923,3.33,0.0,20.0
924,3.33,0.0,20.0
925,3.33,0.0,20.0
926,3.33,0.0,20.0
927,3.33,0.0,20.0
928,3.33,0.0,20.0
929,3.33,0.0,20.0
930,3.33,0.0,20.0
931,3.33,0.0,20.0
932,3.33,0.0,20.0
933,3.33,0.0,20.0
934,3.33,0.0,20.0
935,3.33,0.0,20.0
936,3.33,0.0,20.0
937,3.33,0.0,20.0
938,3.33,0.0,20.0
939,3.33,0.0,20.0
940,3.33,0.0,20.0
941,3.33,0.0,20.0
942,3.33,0.0,20.0
943,3.33,0.0,20.0
944,3.33,0.0,20.0
945,3.33,0.0,20.0
946,3.33,0.0,20.0
947,3.33,0.0,20.0
948,3.33,0.0,20.0
949,3.33,0.0,20.0
950,3.33,0.0,20.0
951,3.33,0.0,20.0
952,3.33,0.0,20.0
953,3.33,0.0,20.0
954,3.33,0.0,20.0
955,3.33,0.0,20.0
956,3.33,0.0,20.0
957,3.33,0.0,20.0
958,3.33,0.0,20.0
959,3.33,0.0,20.0
960,3.33,0.0,20.0
961,3.33,0.0,20.0
962,3.33,0.0,20.0
963,3.33,0.0,20.0
964,3.33,0.0,20.0
965,3.33,0.0,20.0
966,3.33,0.0,20.0
967,3.33,0.0,20.0
968,3.33,0.0,20.0
969,3.33,0.0,20.0
970,3.33,0.0,20.0
971,3.33,0.0,20.0
972,3.33,0.0,20.0
973,3.33,0.0,20.0
974,3.33,0.0,20.0
975,3.33,0.0,20.0
976,3.33,0.0,20.0
977,3.33,0.0,20.0
978,3.33,0.0,20.0
979,3.33,0.0,20.0
980,3.33,0.0,20.0
981,3.33,0.0,20.0
982,3.33,0.0,20.0
983,3.33,0.0,20.0
984,3.33,0.0,20.0
985,3.33,0.0,20.0
986,3.33,0.0,20.0
987,3.33,0.0,20.0
988,3.33,0.0,20.0
989,3.33,0.0,20.0
990,3.33,0.0,20.0
991,3.33,0.0,20.0
992,3.33,0.0,20.0
993,3.33,0.0,20.0
994,3.33,0.0,20.0
995,3.33,0.0,20.0
